gouvernorat,variable,n,biais,mae,sigma,mae_sur_sigma
Ariana,soil_temperature_7_to_28cm,1872,0.0,0.0,4.18468049690899,0.0
Ariana,soil_temperature_28_to_100cm,1872,0.0,0.0,3.388587213888703,0.0
Ariana,soil_moisture_28_to_100cm,1872,0.0,0.0,0.02178625798010965,0.0
Ariana,soil_moisture_7_to_28cm,1872,0.0,0.0,0.017661070542760397,0.0
Ariana,soil_moisture_0_to_7cm,1872,0.0,0.0,0.013256779597950893,0.0
Ariana,soil_temperature_0_to_7cm,1872,0.0,0.0,6.62547159987684,0.0
Ariana,terrestrial_radiation,1872,-0.0006410256410247116,0.02382478632478543,496.2001303814336,4.801447010195482e-05
Ariana,shortwave_radiation,1872,2.088116410670978,12.956345998383185,346.6409855662276,0.03737684387557168
Ariana,pressure_msl,1872,-0.19547291835084943,0.27631366208569164,3.954101971187997,0.06988025703410833
Ariana,et0_fao_evapotranspiration,1872,-0.006337914308811641,0.021115602263540825,0.25722412245581644,0.08209028788568563
Ariana,direct_radiation,1872,3.7073565076798705,23.4874696847211,273.430687293887,0.08589917217110474
Ariana,rain,1872,-0.0095392077607114,0.017461600646725948,0.1679772437969439,0.10395217978355492
Ariana,direct_normal_irradiance,1872,4.444704931285368,34.56677445432498,320.5633281412357,0.1078313438245043
Ariana,precipitation,1872,-0.008488278092158448,0.01818916734033953,0.1679772437969439,0.10828352060786972
Ariana,diffuse_radiation,1872,-1.6192400970088925,12.274050121261116,87.1328902275382,0.14086586694425893
Ariana,apparent_temperature,1872,-0.5452708164915118,1.0416329830234439,6.2147383499096565,0.16760689257957032
Ariana,surface_pressure,1872,-0.7798706548100252,0.7837510105092975,3.9416238364065497,0.19883962626525464
Ariana,temperature_2m,1872,-0.8801940177849638,1.1660468876313663,5.466917008434287,0.21329149241380557
Ariana,cloud_cover_high,1872,-0.25949878738884397,7.8504446240905414,35.22432965380728,0.22286995100393664
Ariana,wind_direction_100m,1872,-4.966046887631366,28.157639450282943,112.37357438676995,0.2505717167398212
Ariana,vapour_pressure_deficit,1872,-0.24618431689571546,0.34193209377526274,1.1475699945743953,0.29796186323438745
Ariana,wind_direction_10m,1872,8.701697655618432,36.1034761519806,109.7432724450927,0.32898122452147643
